metric_name,iteration,difficulty,duration_ns
TransactionValidation,613,2,111.397µs
TransactionValidation,614,2,94.426µs
TransactionValidation,615,2,93.448µs
TransactionValidation,616,2,93.169µs
TransactionValidation,617,2,95.752µs
TransactionValidation,618,2,93.378µs
TransactionValidation,619,2,94.705µs
TransactionValidation,620,2,92.47µs
TransactionValidation,621,2,93.937µs
TransactionValidation,622,2,112.864µs
TransactionValidation,623,2,97.359µs
TransactionValidation,624,2,132.001µs
TransactionValidation,625,2,92.051µs
TransactionValidation,626,2,95.194µs
TransactionValidation,627,2,141.709µs
TransactionValidation,628,2,96.102µs
TransactionValidation,629,2,95.404µs
TransactionValidation,630,2,93.937µs
TransactionValidation,631,2,95.125µs
TransactionValidation,632,2,93.028µs
TransactionValidation,633,2,93.937µs
TransactionValidation,634,2,94.216µs
TransactionValidation,635,2,93.937µs
TransactionValidation,636,2,94.845µs
TransactionValidation,637,2,102.108µs
TransactionValidation,638,2,94.286µs
TransactionValidation,639,2,94.915µs
TransactionValidation,640,2,92.819µs
TransactionValidation,641,2,126.134µs
TransactionValidation,642,2,92.959µs
TransactionValidation,643,2,109.651µs
TransactionValidation,644,2,96.172µs
TransactionValidation,645,2,92.61µs
TransactionValidation,646,2,94.915µs
TransactionValidation,647,2,94.426µs
TransactionValidation,648,2,93.099µs
TransactionValidation,649,2,94.496µs
TransactionValidation,650,2,98.197µs
TransactionValidation,651,2,98.267µs
TransactionValidation,652,2,94.426µs
TransactionValidation,653,2,94.006µs
TransactionValidation,654,2,94.146µs
TransactionValidation,655,2,92.749µs
TransactionValidation,656,2,94.006µs
TransactionValidation,657,2,95.264µs
TransactionValidation,658,2,95.264µs
TransactionValidation,659,2,111.886µs
TransactionValidation,660,2,92.54µs
TransactionValidation,661,2,94.496µs
TransactionValidation,662,2,110.42µs
TransactionValidation,663,2,112.584µs
TransactionValidation,664,2,126.902µs
TransactionValidation,665,2,94.146µs
TransactionValidation,666,2,97.918µs
TransactionValidation,667,2,99.594µs
TransactionValidation,668,2,93.867µs
TransactionValidation,669,2,93.727µs
TransactionValidation,670,2,93.518µs
TransactionValidation,671,2,94.356µs
TransactionValidation,672,2,92.959µs
TransactionValidation,673,2,101.41µs
TransactionValidation,674,2,92.959µs
TransactionValidation,675,2,112.864µs
TransactionValidation,676,2,99.804µs
TransactionValidation,677,2,110.489µs
TransactionValidation,678,2,96.242µs
TransactionValidation,679,2,94.915µs
TransactionValidation,680,2,116.915µs
TransactionValidation,681,2,94.914µs
TransactionValidation,682,2,95.055µs
TransactionValidation,683,2,93.308µs
TransactionValidation,684,2,94.915µs
TransactionValidation,685,2,95.124µs
TransactionValidation,686,2,100.502µs
TransactionValidation,687,2,102.457µs
TransactionValidation,688,2,93.937µs
TransactionValidation,689,2,97.988µs
TransactionValidation,690,2,94.006µs
TransactionValidation,691,2,108.743µs
TransactionValidation,692,2,94.356µs
TransactionValidation,693,2,93.029µs
TransactionValidation,694,2,95.403µs
TransactionValidation,695,2,93.517µs
TransactionValidation,696,2,116.426µs
TransactionValidation,697,2,102.946µs
TransactionValidation,698,2,97.289µs
TransactionValidation,699,2,102.317µs
TransactionValidation,700,2,99.245µs
TransactionValidation,701,2,96.87µs
TransactionValidation,702,2,101.48µs
TransactionValidation,703,2,98.547µs
TransactionValidation,704,2,96.102µs
TransactionValidation,705,2,102.108µs
TransactionValidation,706,2,95.893µs
TransactionValidation,707,2,117.753µs
TransactionValidation,708,2,97.289µs
TransactionValidation,709,2,93.937µs
TransactionValidation,710,2,99.245µs
TransactionValidation,711,2,100.851µs
TransactionValidation,712,2,115.378µs
TransactionValidation,713,2,119.219µs
TransactionValidation,714,2,96.661µs
TransactionValidation,715,2,94.356µs
TransactionValidation,716,2,95.334µs
TransactionValidation,717,2,119.289µs
TransactionValidation,718,2,96.102µs
TransactionValidation,719,2,95.263µs
TransactionValidation,720,2,94.426µs
TransactionValidation,721,2,94.147µs
TransactionValidation,722,2,92.33µs
TransactionValidation,723,2,93.448µs
TransactionValidation,724,2,94.845µs
TransactionValidation,725,2,93.238µs
TransactionValidation,726,2,600.288µs
TransactionValidation,727,2,131.652µs
TransactionValidation,728,2,129.277µs
TransactionValidation,729,2,102.876µs
TransactionValidation,730,2,161.683µs
TransactionValidation,731,2,157.702µs
TransactionValidation,732,2,157.493µs
TransactionValidation,733,2,144.432µs
TransactionValidation,734,2,100.222µs
TransactionValidation,735,2,94.355µs
TransactionValidation,736,2,93.448µs
TransactionValidation,737,2,116.146µs
TransactionValidation,738,2,93.099µs
TransactionValidation,739,2,94.426µs
TransactionValidation,740,2,96.801µs
TransactionValidation,741,2,95.613µs
TransactionValidation,742,2,92.959µs
TransactionValidation,743,2,96.382µs
TransactionValidation,744,2,93.238µs
TransactionValidation,745,2,93.239µs
TransactionValidation,746,2,93.448µs
TransactionValidation,747,2,93.378µs
TransactionValidation,748,2,110.978µs
TransactionValidation,749,2,92.54µs
TransactionValidation,750,2,93.029µs
TransactionValidation,751,2,92.61µs
TransactionValidation,752,2,94.915µs
TransactionValidation,753,2,94.426µs
TransactionValidation,754,2,95.404µs
TransactionValidation,755,2,93.029µs
TransactionValidation,756,2,92.959µs
TransactionValidation,757,2,102.178µs
TransactionValidation,758,2,95.403µs
TransactionValidation,759,2,106.927µs
TransactionValidation,760,2,96.521µs
TransactionValidation,761,2,108.044µs
TransactionValidation,762,2,96.73µs
TransactionValidation,763,2,93.937µs
TransactionValidation,764,2,113.353µs
TransactionValidation,765,2,94.705µs
TransactionValidation,766,2,94.425µs
TransactionValidation,767,2,106.787µs
TransactionValidation,768,2,95.124µs
TransactionValidation,769,2,97.289µs
TransactionValidation,770,2,95.264µs
TransactionValidation,771,2,94.495µs
